package,owner,shallow,deep
AWSSQS,JuliaCloud,"[""HTTP"", ""AWSCore"", ""Retry"", ""MbedTLS"", ""SymDict""]","[""Mocking"", ""LazyJSON"", ""OrderedCollections"", ""WeakRefStrings"", ""JSON"", ""DataStructures"", ""Compat"", ""EzXML"", ""XML2_jll"", ""DataAPI"", ""Parsers"", ""ExprTools"", ""XMLDict"", ""Zlib_jll"", ""BinaryProvider"", ""IterTools"", ""Missings"", ""IniFile"", ""MbedTLS_jll"", ""Libiconv_jll""]"
AbaqusReader,JuliaFEM,"[""Nullables""]","[""Compat""]"
AbstractAlgebra,Nemocas,String[],String[]
AbstractFFTs,JuliaMath,"[""Compat""]",String[]
AbstractIndices,Tokazama,"[""StaticRanges"", ""ArrayInterface""]","[""StaticArrays"", ""Requires""]"
AbstractInstances,dalum,String[],String[]
AbstractLattices,scheinerman,String[],String[]
AbstractLogic,EconometricsBySimulation,"[""StatsBase"", ""Documenter"", ""ReplMaker"", ""BenchmarkTools"", ""Suppressor"", ""Crayons""]","[""JSON"", ""DataStructures"", ""Compat"", ""DocStringExtensions"", ""SortingAlgorithms"", ""DataAPI"", ""OrderedCollections"", ""WeakRefStrings"", ""Missings"", ""Parsers""]"
AbstractMCMC,TuringLang,"[""StatsBase"", ""ProgressLogging"", ""LoggingExtras"", ""ConsoleProgressMonitor"", ""ProgressMeter"", ""TerminalLoggers""]","[""DataStructures"", ""LeftChildRightSiblingTrees"", ""SortingAlgorithms"", ""DataAPI"", ""OrderedCollections"", ""AbstractTrees"", ""Missings""]"
AbstractNumbers,SimonDanisch,"[""SpecialFunctions""]","[""BinDeps"", ""Compat"", ""CompilerSupportLibraries_jll"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""URIParser""]"
AbstractOperators,kul-forbes,"[""DSP"", ""AbstractFFTs"", ""RecursiveArrayTools"", ""FFTW""]","[""FFTW_jll"", ""IntelOpenMP_jll"", ""Conda"", ""OrderedCollections"", ""WeakRefStrings"", ""JSON"", ""DataStructures"", ""Compat"", ""StaticArrays"", ""RecipesBase"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""CSTParser"", ""DataAPI"", ""SpecialFunctions"", ""Parsers"", ""Requires"", ""Reexport"", ""URIParser"", ""Tokenize"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""IterTools"", ""Missings"", ""ZygoteRules"", ""VersionParsing"", ""Polynomials"", ""ArrayInterface"", ""MacroTools"", ""MKL_jll""]"
AbstractPlotting,JuliaPlots,"[""Observables"", ""Showoff"", ""IntervalSets"", ""StructArrays"", ""FixedPointNumbers"", ""Reactive"", ""ColorSchemes"", ""Packing"", ""SignedDistanceFields"", ""PlotUtils"", ""AbstractNumbers"", ""FreeType"", ""ColorTypes"", ""ImageMagick"", ""GeometryTypes"", ""ColorBrewer"", ""Colors"", ""DocStringExtensions"", ""FFMPEG"", ""FileIO"", ""StaticArrays"", ""UnicodeFun"", ""FreeTypeAbstraction"", ""Contour""]","[""ColorVectorSpace"", ""AbstractFFTs"", ""PooledArrays"", ""Opus_jll"", ""ImageCore"", ""MKL_jll"", ""FFMPEG_jll"", ""ImageDistances"", ""Images"", ""libass_jll"", ""Zlib_jll"", ""x264_jll"", ""PaddedViews"", ""OrderedCollections"", ""FreeType2_jll"", ""ImageFiltering"", ""Compat"", ""FriBidi_jll"", ""OpenSSL_jll"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""x265_jll"", ""TiledIteration"", ""IndirectArrays"", ""CEnum"", ""Requires"", ""LibVPX_jll"", ""Missings"", ""ProgressMeter"", ""RangeArrays"", ""Parameters"", ""Interpolations"", ""Tokenize"", ""Bzip2_jll"", ""VersionParsing"", ""CoordinateTransformations"", ""OffsetArrays"", ""EllipsisNotation"", ""ImageTransformations"", ""LAME_jll"", ""IntelOpenMP_jll"", ""Distances"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""Clustering"", ""QuartzImageIO"", ""FFTW_jll"", ""StatsBase"", ""Ogg_jll"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""libvorbis_jll"", ""MacroTools"", ""CustomUnitRanges"", ""ImageMorphology"", ""DataStructures"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""BinaryProvider"", ""MappedArrays"", ""DataValueInterfaces"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""libfdk_aac_jll"", ""Calculus"", ""SpecialFunctions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""ImageShow"", ""NaNMath"", ""libpng_jll"", ""FFTW"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""Libtiff_jll"", ""Tables"", ""ComputationalResources"", ""Ratios""]"
AbstractRationals,bhgomes,Any[],Any[]
AbstractTensors,chakravala,"[""DirectSum"", ""AbstractLattices""]","[""Combinatorics"", ""Polynomials"", ""ComputedFieldTypes"", ""StaticArrays"", ""RecipesBase""]"
AbstractTrees,JuliaCollections,String[],String[]
AbstractWallets,bhgomes,Any[],Any[]
Absynth,ahumenberger,"[""ParserCombinator"", ""MultivariatePolynomials"", ""PyCall"", ""Combinatorics"", ""DataStructures"", ""DynamicPolynomials"", ""ProgressMeter"", ""MacroTools"", ""DataFrames""]","[""TableTraits"", ""OrderedCollections"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Nullables"", ""Compat"", ""CategoricalArrays"", ""RecipesBase"", ""Requires"", ""TranscodingStreams"", ""PooledArrays"", ""Missings"", ""CodecZlib"", ""Polynomials"", ""SortingAlgorithms"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""StatsBase"", ""DataAPI"", ""AutoHashEquals"", ""CSTParser"", ""Parsers"", ""Reexport"", ""DataStreams"", ""Zlib_jll"", ""Tokenize"", ""BinaryProvider"", ""DataValueInterfaces"", ""VersionParsing"", ""Tables"", ""NamedTuples"", ""MutableArithmetics""]"
AcceleratedArrays,andyferris,"[""SplitApplyCombine"", ""Dictionaries""]","[""Indexing""]"
AccurateArithmetic,JuliaMath,"[""JSON"", ""SIMDPirates"", ""VectorizationBase""]","[""DataStructures"", ""Compat"", ""Tokenize"", ""CpuId"", ""MacroTools"", ""DataAPI"", ""OrderedCollections"", ""CSTParser"", ""WeakRefStrings"", ""Parsers"", ""Missings""]"
ActuarialScience,alecloudenback,"[""Distributions""]","[""PDMats"", ""OpenBLAS_jll"", ""Rmath"", ""SortingAlgorithms"", ""BinaryProvider"", ""Arpack"", ""OpenSpecFun_jll"", ""OrderedCollections"", ""Missings"", ""StatsBase"", ""DataStructures"", ""Compat"", ""Rmath_jll"", ""Polynomials"", ""StatsFuns"", ""QuadGK"", ""RecipesBase"", ""DataAPI"", ""Arpack_jll"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""FillArrays"", ""URIParser""]"
AcuteBenchmark,aminya,"[""ColorTypes"", ""Distributions"", ""Plots"", ""StructArrays"", ""BenchmarkTools"", ""Colors""]","[""Arpack"", ""TableTraits"", ""OrderedCollections"", ""FreeType2_jll"", ""IteratorInterfaceExtensions"", ""DataStructures"", ""Compat"", ""GeometryTypes"", ""libfdk_aac_jll"", ""StatsFuns"", ""Measures"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""Requires"", ""Adapt"", ""Showoff"", ""GR"", ""LibVPX_jll"", ""FixedPointNumbers"", ""PooledArrays"", ""OpenSpecFun_jll"", ""FriBidi_jll"", ""Opus_jll"", ""Missings"", ""Polynomials"", ""FFMPEG"", ""OpenSSL_jll"", ""PlotThemes"", ""Contour"", ""LAME_jll"", ""PDMats"", ""SortingAlgorithms"", ""FFMPEG_jll"", ""WeakRefStrings"", ""PlotUtils"", ""JSON"", ""StatsBase"", ""x265_jll"", ""libass_jll"", ""Rmath_jll"", ""Ogg_jll"", ""QuadGK"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""Reexport"", ""NaNMath"", ""URIParser"", ""OpenBLAS_jll"", ""Zlib_jll"", ""Rmath"", ""BinaryProvider"", ""IterTools"", ""x264_jll"", ""DataValueInterfaces"", ""libvorbis_jll"", ""Tables"", ""Bzip2_jll"", ""Arpack_jll"", ""FillArrays""]"
AcuteML,aminya,"[""Tables"", ""EzXML"", ""TypeTransform"", ""PrettyTables""]","[""Zlib_jll"", ""BinaryProvider"", ""TableTraits"", ""OrderedCollections"", ""IteratorInterfaceExtensions"", ""Formatting"", ""DataValueInterfaces"", ""DataStructures"", ""Compat"", ""XML2_jll"", ""Crayons"", ""DataAPI"", ""Parameters"", ""Requires"", ""Reexport"", ""Libiconv_jll""]"
Adapode,chakravala,"[""StaticArrays"", ""Grassmann"", ""DirectSum"", ""AbstractTensors""]","[""ReplMaker"", ""SyntaxTree"", ""Reduce"", ""Combinatorics"", ""Leibniz"", ""ForceImport"", ""Polynomials"", ""ComputedFieldTypes"", ""RecipesBase"", ""Requires"", ""AbstractLattices""]"
Adapt,JuliaGPU,String[],String[]
AdaptiveDistanceFields,rdeits,"[""StaticArrays"", ""RegionTrees"", ""Interpolations""]","[""URIParser"", ""BinaryProvider"", ""AxisAlgorithms"", ""OpenSpecFun_jll"", ""OffsetArrays"", ""IterTools"", ""DualNumbers"", ""WoodburyMatrices"", ""Compat"", ""Calculus"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""Ratios"", ""SpecialFunctions"", ""NaNMath""]"
AdaptiveFilters,baggepinnen,"[""DSP"", ""OnlineStats""]","[""OrderedCollections"", ""DataStructures"", ""Compat"", ""SweepOperator"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""LearnBase"", ""AbstractFFTs"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""MKL_jll"", ""PenaltyFunctions"", ""FFTW_jll"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""StatsBase"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""Reexport"", ""URIParser"", ""LossFunctions"", ""BinaryProvider"", ""IterTools"", ""VersionParsing"", ""OnlineStatsBase"", ""FFTW""]"
AdaptiveMCMC,mvihola,"[""StaticArrays""]",String[]
AdaptiveRejectionSampling,mauriciogtec,"[""StatsBase"", ""ForwardDiff""]","[""URIParser"", ""SortingAlgorithms"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""DiffResults"", ""OrderedCollections"", ""Missings"", ""CommonSubexpressions"", ""DataStructures"", ""Compat"", ""DiffRules"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""NaNMath""]"
AdjacentFloats,JeffreySarnoff,String[],String[]
AdmittanceModels,rigetti,"[""Combinatorics"", ""IterativeSolvers"", ""Compat"", ""UniqueVectors"", ""MatrixNetworks""]","[""DataStructures"", ""OpenBLAS_jll"", ""Polynomials"", ""Arpack"", ""BinaryProvider"", ""IterTools"", ""RecipesBase"", ""Arpack_jll"", ""OrderedCollections"", ""KahanSummation""]"
AdobeGlyphList,sambitdash,"[""Compat""]",String[]
AdvancedHMC,TuringLang,"[""InplaceOps"", ""LazyArrays"", ""StatsBase"", ""ProgressMeter"", ""StatsFuns"", ""Parameters"", ""ArgCheck"", ""Requires""]","[""SortingAlgorithms"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""Rmath_jll"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""CSTParser"", ""SpecialFunctions"", ""URIParser"", ""Rmath"", ""Tokenize"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""ArrayLayouts"", ""Missings"", ""MacroTools"", ""FillArrays""]"
